ds,y,KAN,Naive,week
2025-03-01 00:00:00,121.69583333333334,139.86984,126.72,Week 1
2025-03-01 01:00:00,134.18916666666672,134.33617,119.66333333333336,Week 1
2025-03-01 02:00:00,120.74750000000002,130.28136,86.76333333333335,Week 1
2025-03-01 03:00:00,123.31583333333333,131.57321,119.31666666666666,Week 1
2025-03-01 04:00:00,123.52416666666667,123.55307,120.31333333333333,Week 1
2025-03-01 05:00:00,134.32583333333338,135.05356,120.02666666666667,Week 1
2025-03-01 06:00:00,145.15250000000003,126.45456,120.10166666666669,Week 1
2025-03-01 07:00:00,83.37333333333335,116.76184,121.45333333333333,Week 1
2025-03-01 08:00:00,92.01000000000002,113.55275,120.95333333333333,Week 1
2025-03-01 09:00:00,82.51916666666668,102.190994,65.59000000000003,Week 1
2025-03-01 10:00:00,16.830833333333345,93.002556,11.029999999999987,Week 1
2025-03-01 11:00:00,14.070000000000007,68.89595,11.02000000000001,Week 1
2025-03-01 12:00:00,4.793333333333351,70.51981,56.43666666666669,Week 1
2025-03-01 13:00:00,23.402500000000003,55.389053,120.02000000000001,Week 1
2025-03-01 14:00:00,27.306666666666686,55.209087,120.08666666666667,Week 1
2025-03-01 15:00:00,129.9,77.7585,52.125000000000014,Week 1
2025-03-01 16:00:00,121.48583333333333,84.7486,-33.22166666666665,Week 1
2025-03-01 17:00:00,122.59583333333337,106.929825,68.74416666666667,Week 1
2025-03-01 18:00:00,120.06833333333333,108.75104,54.57500000000002,Week 1
2025-03-01 19:00:00,123.78916666666669,119.357216,144.5525,Week 1
2025-03-01 20:00:00,119.92750000000001,125.15233,134.8175,Week 1
2025-03-01 21:00:00,119.24000000000001,126.40086,123.09750000000001,Week 1
2025-03-01 22:00:00,127.80416666666669,124.64697,120.72000000000001,Week 1
2025-03-01 23:00:00,120.7916666666667,115.00287,137.37916666666666,Week 1
2025-03-02 00:00:00,120.02000000000001,120.06827,145.08833333333337,Week 1
2025-03-02 01:00:00,120.02500000000002,131.05545,180.52083333333331,Week 1
2025-03-02 02:00:00,111.56500000000001,141.3486,135.7125,Week 1
2025-03-02 03:00:00,119.9366666666667,138.62111,221.3458333333333,Week 1
2025-03-02 04:00:00,120.51166666666667,140.9862,122.64250000000001,Week 1
2025-03-02 05:00:00,127.33166666666668,167.00345,247.3025,Week 1
2025-03-02 06:00:00,126.72833333333335,167.23563,129.64,Week 1
2025-03-02 07:00:00,121.945,154.81161,29.544166666666698,Week 1
2025-03-02 08:00:00,75.41083333333336,144.16733,85.51,Week 1
2025-03-02 09:00:00,105.65916666666665,131.52098,20.18333333333335,Week 1
2025-03-02 10:00:00,12.773333333333355,121.548935,11.100000000000037,Week 1
2025-03-02 11:00:00,11.080000000000027,116.96872,18.641666666666694,Week 1
2025-03-02 12:00:00,11.070000000000007,106.505486,29.210000000000008,Week 1
2025-03-02 13:00:00,11.080000000000027,107.51284,2.4399999999999693,Week 1
2025-03-02 14:00:00,11.080000000000027,117.30684,-20.32833333333329,Week 1
2025-03-02 15:00:00,11.246666666666684,119.387856,5.661666666666676,Week 1
2025-03-02 16:00:00,58.727500000000006,143.67287,11.083333333333343,Week 1
2025-03-02 17:00:00,125.28250000000001,163.74867,11.151666666666685,Week 1
2025-03-02 18:00:00,140.13750000000005,173.22487,120.09000000000002,Week 1
2025-03-02 19:00:00,140.1991666666667,177.62737,120.07000000000001,Week 1
2025-03-02 20:00:00,140.10333333333332,180.84485,112.40750000000001,Week 1
2025-03-02 21:00:00,125.06500000000001,158.30107,108.78500000000001,Week 1
2025-03-02 22:00:00,120.08000000000001,164.62949,67.73416666666668,Week 1
2025-03-02 23:00:00,120.08000000000001,164.47218,73.57666666666668,Week 1
2025-03-03 00:00:00,120.08000000000001,150.27057,69.88666666666668,Week 1
2025-03-03 01:00:00,120.08000000000001,153.55185,66.3441666666667,Week 1
2025-03-03 02:00:00,120.08000000000001,148.34058,64.98750000000001,Week 1
2025-03-03 03:00:00,120.08000000000001,151.50325,108.72500000000001,Week 1
2025-03-03 04:00:00,120.08000000000001,168.89601,120.07000000000001,Week 1
2025-03-03 05:00:00,121.74583333333335,178.31061,120.14583333333331,Week 1
2025-03-03 06:00:00,125.97750000000002,169.82559,128.99083333333334,Week 1
2025-03-03 07:00:00,128.41333333333333,160.91449,120.08500000000001,Week 1
2025-03-03 08:00:00,138.42083333333335,153.1517,44.26250000000002,Week 1
2025-03-03 09:00:00,120.08000000000001,122.5037,21.31833333333337,Week 1
2025-03-03 10:00:00,120.08000000000001,111.04632,15.183333333333351,Week 1
2025-03-03 11:00:00,120.08000000000001,104.00476,14.81416666666668,Week 1
2025-03-03 12:00:00,137.3625,98.012634,11.098333333333358,Week 1
2025-03-03 13:00:00,131.26583333333335,96.46722,7.826666666666682,Week 1
2025-03-03 14:00:00,129.51666666666668,101.15192,11.95416666666668,Week 1
2025-03-03 15:00:00,140.07833333333335,106.68517,21.776666666666685,Week 1
2025-03-03 16:00:00,140.26583333333335,118.339676,78.53833333333336,Week 1
2025-03-03 17:00:00,142.22666666666666,141.38232,148.44166666666666,Week 1
2025-03-03 18:00:00,139.92333333333335,160.60643,164.68083333333337,Week 1
2025-03-03 19:00:00,136.03000000000003,148.50189,126.42500000000001,Week 1
2025-03-03 20:00:00,131.18666666666667,157.80539,120.22,Week 1
2025-03-03 21:00:00,131.42416666666668,160.51328,134.0266666666667,Week 1
2025-03-03 22:00:00,140.17916666666667,146.67451,120.26583333333333,Week 1
2025-03-03 23:00:00,140.20333333333338,148.80322,120.095,Week 1
2025-03-04 00:00:00,140.12,150.8208,120.07000000000001,Week 1
2025-03-04 01:00:00,140.10333333333332,153.98083,120.08500000000001,Week 1
2025-03-04 02:00:00,140.12,146.44969,120.1,Week 1
2025-03-04 03:00:00,140.13000000000002,148.18839,120.1,Week 1
2025-03-04 04:00:00,140.115,150.47621,120.08000000000001,Week 1
2025-03-04 05:00:00,133.3891666666667,150.52242,131.7891666666667,Week 1
